latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
53.07117,33.70578,303.5,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,276,1.2,N
52.06358,35.88647,296.3,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,278.4,0.5,N
51.25963,37.76663,314.4,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,284.7,2.3,N
51.13943,37.92989,321.4,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,280.1,2.5,N
51.13744,37.93252,317.2,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,279.7,2.7,N
52.21438,34.36897,316.9,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,273.5,1.3,N
52.59005,33.10427,300,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,271,1.3,N
52.5887,33.10872,306.7,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,271.2,0.7,N
52.5602,33.06813,299.3,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,273.7,1.4,N
52.5588,33.07268,296.9,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,273,0.7,N
52.03033,34.70388,302.8,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,260.1,1.4,N
52.03075,34.70868,298.1,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,259.4,1.2,N
52.53936,32.65844,297.4,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,276.8,0.3,N
52.34803,33.17834,306.5,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,266.3,2,N
52.34662,33.18298,305.1,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,265.9,1.7,N
52.09169,33.84844,309.9,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,276.4,1.1,N
51.1806,36.14905,306.4,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,274.2,1.1,N
51.1783,36.14872,302.9,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,274.4,1,N
51.55803,32.78225,298.5,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,278.1,0.7,N
51.55793,32.78401,296.6,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,277.8,0.7,N
51.37821,31.48391,304.2,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,271.8,0.9,N
51.2816,31.35778,301.6,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,279.1,0.4,N
51.27787,31.35356,310.6,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,279.9,1.1,N
50.54819,33.21899,301.7,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,276.5,0.6,N
50.44745,33.43627,302.1,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,273.4,0.8,N
49.61076,34.74218,298.8,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,277.6,0.5,N
49.60918,34.74296,301.9,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,277.4,1.1,N
48.17427,37.69917,295.5,0.7,0.8,2017-04-29,0054,N,nominal,1.0NRT,281.8,1.7,N
49.6316,31.86588,336.9,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,279.9,3.2,N
49.6301,31.87072,324.9,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,278.3,3.2,N
48.49215,34.9758,300.7,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,281.2,1.8,N
48.48847,34.97503,312.9,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,282.2,2.3,N
48.70195,33.74617,295.3,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,277.1,0.4,N
47.12765,37.63232,296.4,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,280,1.4,N
47.15762,37.53369,296.2,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,279.8,1.6,N
50.66313,26.35699,313.3,0.4,0.5,2017-04-29,0054,N,nominal,1.0NRT,264.5,1,N
50.6632,26.35703,315.4,0.4,0.5,2017-04-29,0054,N,nominal,1.0NRT,264,1.6,N
47.21192,37.55951,298.7,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,279.1,1.7,N
47.15736,37.52741,297.1,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,278.7,1.2,N
47.09576,37.60049,320.9,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,281.6,11.6,N
47.09209,37.60998,339.6,0.8,0.8,2017-04-29,0054,N,nominal,1.0NRT,282.5,9.8,N
47.87939,35.19164,301,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,280.1,1.4,N
47.8671,35.16339,299.2,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,282.4,1.8,N
47.62635,34.32648,332.5,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,279.9,4.1,N
47.62354,34.32711,322.8,0.6,0.7,2017-04-29,0054,N,nominal,1.0NRT,278.6,3,N
47.88342,33.4505,306.8,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,280.6,2.1,N
47.87922,33.40113,297.4,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,283.5,1.4,N
47.8751,33.41352,300.5,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,284,1.8,N
47.86275,33.45061,300.8,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,278,1.4,N
48.72593,30.69576,306.3,0.4,0.6,2017-04-29,0054,N,nominal,1.0NRT,273.1,0.8,N
47.87371,33.39705,298.5,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,283,1.4,N
47.87234,33.38057,296,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,283.6,1.8,N
47.87027,33.38679,296.1,0.5,0.7,2017-04-29,0054,N,nominal,1.0NRT,282,1.4,N
49.17039,27.59911,315.2,0.5,0.5,2017-04-29,0054,N,nominal,1.0NRT,276.3,1.9,N
49.16862,27.60584,302.9,0.5,0.5,2017-04-29,0054,N,nominal,1.0NRT,275.9,1.9,N
48.74692,26.60324,297,0.5,0.5,2017-04-29,0054,N,nominal,1.0NRT,277.7,1.2,N
47.78935,28.95683,302.7,0.3,0.6,2017-04-29,0054,N,nominal,1.0NRT,277.8,0.7,N
40.74587,29.76957,297.4,0.6,0.7,2017-04-29,0100,N,nominal,1.0NRT,285.3,2,N
41.01967,28.55552,311,0.5,0.7,2017-04-29,0100,N,nominal,1.0NRT,284,1.8,N
40.44731,27.14375,313,0.4,0.6,2017-04-29,0100,N,nominal,1.0NRT,285.6,1.7,N
40.44191,27.14079,313,0.4,0.6,2017-04-29,0100,N,nominal,1.0NRT,287.1,1.7,N
40.44729,27.14317,305.4,0.4,0.6,2017-04-29,0100,N,nominal,1.0NRT,284.8,1.8,N
40.44186,27.14031,308.2,0.4,0.6,2017-04-29,0100,N,nominal,1.0NRT,286.6,1.8,N
39.4819,30.04361,298.6,0.6,0.7,2017-04-29,0100,N,nominal,1.0NRT,278.6,1.6,N
38.65579,30.62037,296.4,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,278.6,1.2,N
39.86289,26.2436,296,0.4,0.6,2017-04-29,0100,N,nominal,1.0NRT,283.8,0.2,N
38.80091,26.93788,299.1,0.5,0.7,2017-04-29,0100,N,nominal,1.0NRT,287,1.7,N
38.73904,26.95087,303.7,0.5,0.7,2017-04-29,0100,N,nominal,1.0NRT,285.5,1.2,N
38.73349,26.94771,303.8,0.5,0.7,2017-04-29,0100,N,nominal,1.0NRT,284.4,1.6,N
31.09454,26.61954,301.1,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.6,1,N
31.09607,26.62237,298.8,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.8,1.3,N
30.67455,26.36216,303.7,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.6,2.2,N
30.67232,26.36963,310.3,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,280.9,1.8,N
30.66907,26.36199,308.2,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.3,2,N
30.66686,26.36952,310.7,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281,2,N
30.53488,26.08577,322.7,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,282.3,3.5,N
30.53269,26.09315,320.6,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.5,3.5,N
30.53706,26.07841,306.6,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.1,3.8,N
30.5374,26.07985,310.1,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.7,3.1,N
30.53526,26.08725,314.6,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,282.1,3.1,N
30.5331,26.09467,309.1,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.1,3.5,N
30.52854,26.08466,300.7,0.7,0.8,2017-04-29,0100,N,nominal,1.0NRT,281.9,3.1,N
60.86163,135.26497,338.1,0.5,0.5,2017-04-29,0218,N,nominal,1.0NRT,283.8,7.7,D
63.33592,143.40724,331.3,0.4,0.4,2017-04-29,0218,N,nominal,1.0NRT,278.5,5.4,D
62.1953,129.92784,333.3,0.6,0.5,2017-04-29,0218,N,nominal,1.0NRT,283.6,5,D
62.44171,130.04971,333.2,0.6,0.5,2017-04-29,0218,N,nominal,1.0NRT,284.5,5.4,D
63.19947,130.78804,352.4,0.5,0.5,2017-04-29,0218,N,nominal,1.0NRT,286.8,20.7,D
63.19674,130.77936,331,0.5,0.5,2017-04-29,0218,N,nominal,1.0NRT,285.3,5.2,D
63.20056,130.77347,337.8,0.5,0.5,2017-04-29,0218,N,nominal,1.0NRT,283.9,5.2,D
32.69687,129.82286,325.4,0.4,0.5,2017-04-29,0354,N,low,1.0NRT,300.2,3.8,D
32.70104,129.82162,337.4,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,302.8,3.8,D
33.26273,131.65352,336.6,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,308.6,9.3,D
33.26167,131.64803,337.3,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,309,6.5,D
34.23001,135.12172,338.8,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,298.9,3,D
34.70119,137.25124,329.5,0.4,0.4,2017-04-29,0354,N,low,1.0NRT,301.3,3.1,D
34.70451,137.25053,333.2,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,299.8,3.1,D
34.7215,137.32133,338.3,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,306.8,4.3,D
33.7985,130.98885,333.1,0.5,0.4,2017-04-29,0354,N,low,1.0NRT,304.7,5.6,D
34.22065,132.5335,332.2,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,298,13.8,D
34.21808,132.53632,334.4,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,298.1,5,D
34.22165,132.53534,339.5,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,301.1,7.7,D
34.22521,132.53441,335.1,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,299,7.7,D
35.35396,139.8685,334.1,0.5,0.4,2017-04-29,0354,N,low,1.0NRT,304.6,6.3,D
35.3696,139.8449,335.5,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,299.6,5.2,D
34.48548,133.73401,339.7,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,298.6,8.6,D
34.45766,133.43195,334.7,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,299,6,D
34.46536,133.43478,336.1,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,298.3,4.7,D
34.46455,133.43018,336.3,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,302.7,4.7,D
34.47063,133.42381,336.4,0.4,0.4,2017-04-29,0354,N,low,1.0NRT,307.3,5.8,D
34.52279,133.68211,328.4,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,294.6,1.7,D
35.47688,139.72008,337.5,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,305.8,3.9,D
35.58017,140.09393,335.9,0.5,0.4,2017-04-29,0354,N,low,1.0NRT,306.1,5.6,D
35.93052,140.68483,334.9,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,304.3,4.1,D
35.92924,140.67351,340.6,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,305.1,8.6,D
35.9343,140.68419,330.5,0.5,0.4,2017-04-29,0354,N,low,1.0NRT,302.7,4.1,D
35.94749,140.66472,336,0.5,0.4,2017-04-29,0354,N,nominal,1.0NRT,301.2,5.1,D
35.43381,133.39647,335.9,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,301,1.9,D
35.44567,133.12993,328.5,0.4,0.4,2017-04-29,0354,N,low,1.0NRT,302.4,2.9,D
35.08511,128.99014,331.8,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,303.1,2.7,D
37.48608,129.05681,336.6,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,304.2,6.8,D
37.48434,129.04843,334.7,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,301.7,3.8,D
37.48635,129.05411,333.5,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,301.4,5.7,D
37.48546,129.04987,330,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,299.9,4.8,D
36.98532,126.7112,334.1,0.5,0.5,2017-04-29,0354,N,low,1.0NRT,305.7,4.3,D
36.98843,126.7038,332.5,0.5,0.5,2017-04-29,0354,N,low,1.0NRT,303.9,4.3,D
37.59684,129.01385,337.8,0.4,0.4,2017-04-29,0354,N,nominal,1.0NRT,305.5,4.5,D
38.44822,128.18896,336.8,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,295.3,2.9,D
38.42516,128.06233,337.6,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,297.4,5.1,D
38.43002,128.06477,334.7,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,297.8,5.1,D
36.99945,122.07044,334,0.5,0.6,2017-04-29,0354,N,nominal,1.0NRT,300.3,2.1,D
38.43029,127.37695,355,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,303.4,8.4,D
38.49239,127.4827,339.6,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,298.5,4.1,D
37.94246,125.06605,347.8,0.6,0.5,2017-04-29,0354,N,nominal,1.0NRT,321.3,50.8,D
38.53723,127.58407,348.3,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,295.2,8.4,D
37.94722,125.06433,339.8,0.6,0.5,2017-04-29,0354,N,nominal,1.0NRT,295.4,50.8,D
38.50947,127.29735,330.5,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,300.7,1.5,D
37.32362,122.37143,367,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,308.6,17.8,D
37.32232,122.36665,341.8,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,305.5,10.1,D
38.58442,127.4175,354.2,0.4,0.5,2017-04-29,0354,N,nominal,1.0NRT,303.2,26.3,D
37.32019,122.37198,332.5,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,304.1,2.3,D
37.32565,122.36963,367,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,307.6,7.8,D
37.32432,122.36482,332.3,0.4,0.6,2017-04-29,0354,N,nominal,1.0NRT,305.1,7.8,D
38.60382,126.69004,331.8,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,302,2.6,D
38.60814,126.68852,345.7,0.5,0.5,2017-04-29,0354,N,nominal,1.0NRT,302.3,9.7,D
